id,name,address,longitude,latitude,category,reserve_url,municipality_id,user_id
1,江東区文化センター,東京都江東区東陽4-11-3,139.818678,35.673086,文化センター,https://www.kcf.or.jp/koto/,8,1
2,豊洲文化センター,東京都江東区豊洲2-2-18,139.795247,35.654581,文化センター,https://www.kcf.or.jp/toyosu/,8,1
3,東大島文化センター,東京都江東区大島8-33-9,139.842408,35.690052,文化センター,https://www.kcf.or.jp/higashiojima/,8,1
4,砂町文化センター,東京都江東区北砂5-1-7,139.831936,35.680617,文化センター,https://www.kcf.or.jp/sunamachi/,8,1
5,森下文化センター,東京都江東区森下3-12-17,139.802078,35.685408,文化センター,https://www.kcf.or.jp/morishita/,8,1
6,古石場文化センター,東京都江東区古石場2-13-2,139.799022,35.667256,文化センター,https://www.kcf.or.jp/furuishiba/,8,1
7,亀戸文化センター,東京都江東区亀戸2-19-1,139.824505,35.697917,文化センター,https://www.kcf.or.jp/kameido/,8,1
8,総合区民センター,東京都江東区大島4-5-1,139.827021,35.68938,文化センター,https://www.kcf.or.jp/sogo/,8,1
9,江東公会堂,東京都江東区住吉2-28-36,139.819463,35.688755,文化センター,https://www.kcf.or.jp/tiara/,8,1
10,スポーツ会館,東京都江東区北砂1-2-9,139.821396,35.684788,スポーツセンター,https://www.koto-hsc.or.jp/sports_center1/,8,1
